Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,2.514000,2.552000,2.451000,2.489000,2.489000,43866
2020-08-26,2.480000,2.557000,2.398000,2.461000,2.461000,37633
2020-08-27,2.424000,2.598000,2.388000,2.579000,2.579000,209678
2020-08-28,2.710000,2.743000,2.621000,2.657000,2.657000,152901
2020-08-30,null,null,null,null,null,null
2020-08-31,2.629000,2.653000,2.497000,2.630000,2.630000,203888
2020-09-01,2.628000,2.675000,2.504000,2.527000,2.527000,228380
2020-09-02,2.516000,2.578000,2.415000,2.486000,2.486000,257129
2020-09-03,2.489000,2.567000,2.455000,2.487000,2.487000,146077
2020-09-04,2.483000,2.605000,2.431000,2.588000,2.588000,165241
2020-09-06,null,null,null,null,null,null
2020-09-08,2.586000,2.586000,2.356000,2.400000,2.400000,223470
2020-09-09,2.367000,2.480000,2.328000,2.406000,2.406000,201385
2020-09-10,2.382000,2.407000,2.305000,2.323000,2.323000,139971
2020-09-11,2.314000,2.335000,2.246000,2.269000,2.269000,123018
2020-09-13,null,null,null,null,null,null
2020-09-14,2.306000,2.399000,2.284000,2.310000,2.310000,151170
2020-09-15,2.305000,2.383000,2.275000,2.362000,2.362000,114514
2020-09-16,2.356000,2.389000,2.233000,2.267000,2.267000,119392
2020-09-17,2.254000,2.275000,1.987000,2.042000,2.042000,238359
2020-09-18,1.999000,2.074000,1.926000,2.048000,2.048000,151869
2020-09-20,null,null,null,null,null,null
2020-09-21,1.991000,2.038000,1.795000,1.835000,1.835000,256631
2020-09-22,1.888000,1.897000,1.808000,1.834000,1.834000,102265
2020-09-23,1.845000,2.207000,1.815000,2.125000,2.125000,100575
2020-09-24,2.195000,2.320000,2.169000,2.248000,2.248000,60475
2020-09-25,2.178000,2.260000,2.101000,2.139000,2.139000,40394
2020-09-27,null,null,null,null,null,null
2020-09-28,2.105000,2.176000,2.020000,2.101000,2.101000,113191
2020-09-29,2.769000,2.789000,2.490000,2.561000,2.561000,196454
2020-09-30,2.502000,2.579000,2.425000,2.527000,2.527000,145933
2020-10-01,2.550000,2.592000,2.441000,2.527000,2.527000,155886
2020-10-02,2.485000,2.551000,2.373000,2.438000,2.438000,163725
2020-10-04,null,null,null,null,null,null
2020-10-05,2.455000,2.727000,2.446000,2.615000,2.615000,195405
2020-10-06,2.623000,2.703000,2.505000,2.520000,2.520000,149529
2020-10-07,2.511000,2.686000,2.466000,2.606000,2.606000,211070
2020-10-08,2.590000,2.651000,2.508000,2.627000,2.627000,198488
2020-10-09,2.632000,2.821000,2.618000,2.741000,2.741000,198488
2020-10-11,null,null,null,null,null,null
2020-10-12,2.891000,2.955000,2.825000,2.881000,2.881000,179699
2020-10-13,2.834000,2.884000,2.751000,2.855000,2.855000,178430
2020-10-14,2.761000,2.771000,2.610000,2.636000,2.636000,184592
2020-10-15,2.645000,2.829000,2.639000,2.775000,2.775000,150327
2020-10-16,2.778000,2.852000,2.670000,2.773000,2.773000,146431
2020-10-18,null,null,null,null,null,null
2020-10-19,2.641000,2.890000,2.638000,2.795000,2.795000,150451
2020-10-20,2.831000,2.950000,2.824000,2.913000,2.913000,119808
2020-10-21,2.897000,3.053000,2.890000,3.023000,3.023000,154373
2020-10-22,3.025000,3.066000,2.980000,3.007000,3.007000,93193
2020-10-23,2.985000,3.006000,2.918000,2.971000,2.971000,73245
2020-10-25,null,null,null,null,null,null
2020-10-26,2.941000,3.080000,2.907000,3.024000,3.024000,35714
2020-10-27,3.016000,3.091000,2.986000,3.019000,3.019000,57585
2020-10-28,3.020000,3.051000,2.967000,2.996000,2.996000,102026
2020-10-29,3.283000,3.346000,3.151000,3.301000,3.301000,168764
2020-10-30,3.313000,3.396000,3.256000,3.354000,3.354000,168764
2020-11-01,null,null,null,null,null,null
2020-11-02,3.374000,3.393000,3.214000,3.244000,3.244000,156206
2020-11-03,3.236000,3.241000,3.041000,3.059000,3.059000,184775
2020-11-04,3.056000,3.091000,3.002000,3.046000,3.046000,145538
2020-11-05,3.062000,3.113000,2.925000,2.942000,2.942000,173752
2020-11-06,2.934000,2.971000,2.866000,2.888000,2.888000,173752
2020-11-08,null,null,null,null,null,null
2020-11-09,2.872000,2.929000,2.821000,2.859000,2.859000,125977
2020-11-10,2.860000,3.012000,2.855000,2.949000,2.949000,158192
2020-11-11,2.948000,3.057000,2.911000,3.031000,3.031000,139900
2020-11-12,3.032000,3.064000,2.941000,2.976000,2.976000,126609
2020-11-13,2.949000,3.087000,2.949000,2.995000,2.995000,126609
2020-11-15,null,null,null,null,null,null
2020-11-16,2.871000,2.887000,2.675000,2.697000,2.697000,189362
2020-11-17,2.684000,2.732000,2.649000,2.692000,2.692000,110709
2020-11-18,2.694000,2.783000,2.687000,2.712000,2.712000,124471
2020-11-19,2.715000,2.744000,2.525000,2.592000,2.592000,159959
2020-11-20,2.599000,2.679000,2.580000,2.650000,2.650000,159959
2020-11-22,null,null,null,null,null,null
2020-11-23,2.705000,2.728000,2.649000,2.711000,2.711000,38777
2020-11-24,2.709000,2.780000,2.693000,2.775000,2.775000,41700
2020-11-25,2.765000,2.914000,2.700000,2.896000,2.896000,112015
2020-11-27,null,null,null,null,null,null
2020-11-29,null,null,null,null,null,null
2020-11-30,2.831000,2.996000,2.823000,2.882000,2.882000,146181
2020-12-01,2.934000,2.972000,2.833000,2.880000,2.880000,137665
2020-12-02,2.881000,2.934000,2.740000,2.780000,2.780000,142878
2020-12-03,2.760000,2.768000,2.484000,2.507000,2.507000,269563
2020-12-04,2.511000,2.623000,2.462000,2.575000,2.575000,269563
2020-12-06,null,null,null,null,null,null
2020-12-07,2.456000,2.483000,2.381000,2.406000,2.406000,236673
2020-12-08,2.431000,2.480000,2.368000,2.399000,2.399000,177627
2020-12-09,2.454000,2.524000,2.421000,2.442000,2.442000,185147
2020-12-10,2.430000,2.594000,2.381000,2.553000,2.553000,215458
2020-12-11,2.568000,2.630000,2.526000,2.591000,2.591000,215458
2020-12-13,null,null,null,null,null,null
2020-12-14,2.658000,2.708000,2.612000,2.682000,2.682000,142936
2020-12-15,2.669000,2.700000,2.596000,2.682000,2.682000,137598
2020-12-16,2.666000,2.692000,2.618000,2.677000,2.677000,128968
2020-12-17,2.685000,2.724000,2.606000,2.636000,2.636000,154243
2020-12-18,2.658000,2.720000,2.648000,2.700000,2.700000,154243
2020-12-20,null,null,null,null,null,null
2020-12-21,2.730000,2.730000,2.632000,2.705000,2.705000,104274
2020-12-22,2.703000,2.806000,2.690000,2.780000,2.780000,112742
2020-12-23,2.768000,2.793000,2.566000,2.608000,2.608000,98707
2020-12-24,null,null,null,null,null,null
2020-12-27,null,null,null,null,null,null
2020-12-28,2.311000,2.343000,2.238000,2.305000,2.305000,49279
